login_id,repo_count,follower_count,member_since
sctv,64.0,51.0, 2008-04-07 
nateirwin,11.0,77.0, 2008-05-15 
tosh,73.0,272.0, 2008-06-24 
bluet,66.0,150.0, 2009-02-02 
lancetw,257.0,175.0, 2009-03-10 
esin,36.0,9655.0, 2009-04-02 
uira,30.0,140.0, 2009-05-29 
rasata,1780.0,50.0, 2009-06-09 
zmughal,256.0,488.0, 2009-06-11 
audy,184.0,331.0, 2009-08-16 
gongfuPanada,1605.0,14.0, 2009-08-29 
fly51fly,11.0,3459.0, 2009-09-19 
keix,4.0,17.0, 2009-10-27 
rmarquis,178.0,114.0, 2009-12-05 
suneil,36.0,15.0, 2009-12-09 
jniamehr,0.0,3.0, 2010-03-17 
rfilipo,50.0,36.0, 2010-03-18 
andy-williams,46.0,40.0, 2010-04-11 
robbinhan,154.0,70.0, 2010-04-12 
batermj,2384.0,1429.0, 2010-04-23 
WillemJan,35.0,0.0, 2010-05-01 
kjaylee,168.0,40.0, 2010-05-04 
greysun,103.0,38.0, 2010-05-15 
GabiThume,34.0,80.0, 2010-05-27 
t3573393,45.0,15.0, 2010-05-28 
johndpope,8082.0,664.0, 2010-05-28 
botsbrain,10.0,142.0, 2010-06-01 
kima2081i,40.0,425.0, 2010-02-30 
EmpeRoar,246.0,31.0, 2010-06-30 
sudachen,146.0,53.0, 2008-02-28 
romanz,108.0,252.0, 2008-05-10 
jpzk,107.0,113.0, 2008-10-30 
wedtm,43.0,27.0, 2008-11-04 
dgonzalez,90.0,170.0, 2009-09-06 
influx6,689.0,302.0, 2009-09-26 
thiagozs,149.0,96.0, 2009-10-16 
gregzuro,30.0,21.0, 2010-04-02 
dadaphl,18.0,37.0, 2010-09-25 
JaniAnttonen,50.0,104.0, 2010-11-29 
almartin82,72.0,80.0, 2011-05-11 
hieple7985,33.0,47.0, 2011-06-08 
xaviarias,16.0,58.0, 2011-06-26 
jhonsu01,41.0,33.0, 2012-05-31 
mortdeus,91.0,101.0, 2012-06-21 
ckabuya,38.0,2.0, 2012-08-21 
y0sher,20.0,26.0, 2012-10-19 
jondo89,10.0,241.0, 2012-11-26 
lrettig,86.0,219.0, 2013-01-19 
rikonor,97.0,20.0, 2013-01-27 
ales9000,6.0,21.0, 2013-02-06 
kinkin10,226.0,910.0, 2011-04-13 
dendisuhubdy,2885.0,506.0, 2013-05-20 
pkrasam,295.0,52.0, 2013-05-24 
gaocegege,397.0,2379.0, 2013-07-27 
yyeexxhhh,10.0,18.0, 2013-08-20 
manjotkhangura,2.0,0.0, 2014-01-11 
r-zig,9.0,0.0, 2014-01-22 
iamgilwell,33.0,98.0, 2014-02-22 
peterp,30.0,413.0, 2009-01-07 
vilmibm,105.0,534.0, 2009-06-24 
canvaspixels,37.0,29.0, 2012-01-19 
Voidious,4.0,17.0, 2012-07-25 
jake100,57.0,1817.0, 2013-10-28 
rob4lderman,36.0,7.0, 2013-12-02 
algebric,4.0,2284.0, 2014-03-05 
vkandola,153.0,1608.0, 2014-04-21 
AdiChat,20.0,3216.0, 2015-01-21 
ArefMq,28.0,2831.0, 2015-02-07 
franklsm1,37.0,6.0, 2015-09-15 
AlexxNica,6666.0,782.0, 2015-09-17 
jessuppi,13.0,425.0, 2016-02-29 
ilmalte,26.0,56.0, 2016-03-05 
una-tapa,28.0,2.0, 2016-07-23 
imArafatHussein,1.0,4123.0, 2016-08-25 
VinayMavani,2.0,17.0, 2017-10-09 
